Equipamento utilizado para acessar a Internet;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas);;;;;;Equipamento utilizado para acessar a Internet;Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%);;;;;;;;;;;
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;
;2065.537;1814.862;338.564;100;87.9;16.4;;;;;;;;;;;;Região Metropolitana de Curitiba;
;3767.691;3165.074;604.798;100;84;16.1;;;;;;;;;;;;Santa Catarina;
;6094.251;5071.896;1383.676;100;83.2;22.7;;;;;;;;;;;;Rio Grande do Sul;
;2610.59;2266.165;605.933;100;86.8;23.2;;;;;;;;;;;;Região Metropolitana de Porto Alegre;
;8530.74;7789.83;2404.837;100;91.3;28.2;;;;;;;;;;;;Centro-Oeste;
;1455.931;1332.655;474.555;100;91.5;32.6;;;;;;;;;;;;Mato Grosso do Sul;
;1526.026;1399.48;472.04;100;91.7;30.9;;;;;;;;;;;;Mato Grosso;
;3541.957;3208.279;1141.169;100;90.6;32.2;;;;;;;;;;;;Goiás;
;2006.826;1849.416;317.073;100;92.2;15.8;;;;;;;;;;;;Distrito Federal;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;
;;;;;;;;;;;;;;;;;;;
;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses;;;;;;;;;;;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas
;Valores absolutos (1000 pessoas);;;Valores relativos (%);;;;;;;;;;;;;;;
;Total;Telefone móvel celular ou tablet;;Total;Telefone móvel celular ou tablet;;;;;;;;;;;;;;
;;Total;Somente por telefone móvel celular ou tablet;;Total;Somente por telefone móvel celular ou tablet;;;;;;;;;;;;;
;102083.09;90484.87;28765.132;100;88.6;28.2;;;;;;;;;;;;;Brasil
;6715.311;6157.441;3143.926;100;91.7;46.8;;;;;;;;;;;;;Norte
;710.57;604.669;216.427;100;85.1;30.5;;;;;;;;;;;;;Rondônia
;285.382;262.255;131.742;100;91.9;46.2;;;;;;;;;;;;;Acre
;1596.758;1502.359;768.417;100;94.1;48.1;;;;;;;;;;;;;Amazonas
;268.027;252.947;125.241;100;94.4;46.7;;;;;;;;;;;;;Roraima
;2962.659;2720.272;1580.052;100;91.8;53.3;;;;;;;;;;;;;Pará
;1227.217;1147.655;622.677;100;93.5;50.7;;;;;;;;;;;;;Região Metropolitana de Belém
;334.728;321.069;144.777;100;95.9;43.3;;;;;;;;;;;;;Amapá
;557.187;493.87;177.27;100;88.6;31.8;;;;;;;;;;;;;Tocantins
;21831.084;19498.521;8118.023;100;89.3;37.2;;;;;;;;;;;;;Nordeste
;1940.697;1782.095;982.376;100;91.8;50.6;;;;;;;;;;;;;Maranhão
;1061;958.558;470.547;100;90.3;44.3;;;;;;;;;;;;;Piauí
;3331.027;2916.352;1216.991;100;87.6;36.5;;;;;;;;;;;;;Ceará
;1950.387;1768.146;694.953;100;90.7;35.6;;;;;;;;;;;;;Região Metropolitana de Fortaleza
;1570.481;1384.681;549.625;100;88.2;35;;;;;;;;;;;;;Rio Grande do Norte
;1738.3;1564.405;650.334;100;90;37.4;;;;;;;;;;;;;Paraíba
;3710.885;3313.607;1198.553;100;89.3;32.3;;;;;;;;;;;;;Pernambuco
;2080;1918.123;635.428;100;92.2;30.5;;;;;;;;;;;;;Região Metropolitana de Recife
;1175.405;1045.153;412.769;100;88.9;35.1;;;;;;;;;;;;;Alagoas
;982.846;943.617;425.622;100;96;43.3;;;;;;;;;;;;;Sergipe
;6320.443;5590.053;2211.206;100;88.4;35;;;;;;;;;;;;;Bahia
;2468.34;2279.529;735.426;100;92.4;29.8;;;;;;;;;;;;;Região Metropolitana de Salvador
;49246.983;43615.666;11609.297;100;88.6;23.6;;;;;;;;;;;;;Sudeste
;10332.092;8838.199;2735.466;100;85.5;26.5;;;;;;;;;;;;;Minas Gerais
;3175.428;2832.91;788.185;100;89.2;24.8;;;;;;;;;;;;;Região Metropolitana de Belo Horizonte
;2004.128;1785.256;515.124;100;89.1;25.7;;;;;;;;;;;;;Espírito Santo
;9707.466;8759.031;2291.552;100;90.2;23.6;;;;;;;;;;;;;Rio de Janeiro
;7529.582;6858.066;1714.024;100;91.1;22.8;;;;;;;;;;;;;Região Metropolitana do Rio de Janeiro
;27203.297;24233.18;6067.155;100;89.1;22.3;;;;;;;;;;;;;São Paulo
;13592.382;12221.457;2818.269;100;89.9;20.7;;;;;;;;;;;;;Região Metropolitana de São Paulo
;15758.972;13379.47;3389.642;100;84.9;21.5;;;;;;;;;;;;;Sul
;5897.03;5033.955;1227.767;100;85.4;20.8;;;;;;;;;;;;;Paraná
;2065.537;1834.55;362.577;100;88.8;17.6;;;;;;;;;;;;;Região Metropolitana de Curitiba
;3767.691;3200.907;660.688;100;85;17.5;;;;;;;;;;;;;Santa Catarina
;6094.251;5144.608;1501.187;100;84.4;24.6;;;;;;;;;;;;;Rio Grande do Sul
;2610.59;2298.528;661.816;100;88;25.4;;;;;;;;;;;;;Região Metropolitana de Porto Alegre
;8530.74;7833.772;2504.244;100;91.8;29.4;;;;;;;;;;;;;Centro-Oeste
;1455.931;1336.632;493.998;100;91.8;33.9;;;;;;;;;;;;;Mato Grosso do Sul
